purpose	key	value	notes
assignment_target	province	province	If the loaded vanilla DB uses a prefixed target key, replace target_type in both assignment rows with the exact vanilla province target key.
campaign_group	main	3k_main_campaign_group	Verify against campaign_groups_tables in the user's installed database.pack.
campaign_group	mandate_of_heaven	3k_dlc04_campaign_group	Delete the row if absent; replace it if the installed DB uses a different campaign-group key.
campaign_group	a_world_betrayed	3k_dlc05_campaign_group	Delete the row if absent; replace it if the installed DB uses a different campaign-group key.
campaign_group	the_furious_wild	3k_dlc06_campaign_group	Delete the row if absent; replace it if the installed DB uses a different campaign-group key.
campaign_group	fates_divided	3k_dlc07_campaign_group	Delete the row if absent; replace it if the installed DB uses a different campaign-group key.
wound	maimed_arm	3k_main_ceo_trait_physical_maimed_arm	Verified vanilla CEO.
wound	maimed_leg	3k_main_ceo_trait_physical_maimed_leg	Verified vanilla CEO.
wound	one_eyed	3k_main_ceo_trait_physical_one-eyed	Verified vanilla CEO.
wound	blind	3k_main_ceo_trait_physical_blind	Verified vanilla CEO.
recovery	scarred	3k_main_ceo_trait_physical_scarred	Verified vanilla recovery CEO.

