key	text	tooltip
#Loc;1;text/db/wota_en.loc		
ui_character_assignments_localised_title_wota_ui_recuperate	Recuperate	true
ui_character_assignments_localised_description_wota_ui_recuperate	Recuperate locally in safety. It is free and takes 4 turns. On completion, severe permanent injuries are replaced with Scarred. Recalling the officer early cancels treatment, with no additional recall delay.	true
ui_character_assignments_localised_title_wota_ui_seek_physician	Seek a Renowned Physician	true
ui_character_assignments_localised_description_wota_ui_seek_physician	Send the officer on an assignment abroad to seek treatment from a foreign renowned physician. It costs 4,000 and takes 1 turn away from military duties. On completion, severe permanent injuries are replaced with Scarred. Recalling the officer early cancels treatment; the payment is not refunded and there is no additional recall delay.	true
wota_treatment_category_title	Treatment	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits	Hua Tuo Visits	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits	While the army replenishes in a settlement, the renowned physician Hua Tuo happens to pass through. He offers to treat one officer suffering a permanent severe injury. For 2,000 gold, the injury will be replaced with Scarred.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visitsFIRST	Hire Hua Tuo (2,000 gold)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visitsFIRST	Accept Treatment	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visitsSECOND	Politely Decline	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visitsSECOND	Decline the Offer	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_recruit	Hua Tuo Visits	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_recruit	While the army replenishes in a settlement, Hua Tuo passes through. He can treat the wounded officer or be retained with a generous gift.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitFIRST	Ask Hua Tuo to Treat Them (2,000 gold)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitFIRST	Accept Treatment	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitSECOND	Retain Hua Tuo (1,000 gold)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitSECOND	Recruit Hua Tuo	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitTHIRD	Politely Decline	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitTHIRD	Decline the Offer	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_manual	Hua Tuo Visits	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_manual	While the army replenishes in a settlement, Hua Tuo passes through. He can treat the wounded officer, or be imprisoned and his medical writings seized.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualFIRST	Ask Hua Tuo to Treat Them (2,000 gold)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualFIRST	Accept Treatment	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualSECOND	Imprison Him and Seize Hua Tuo's Manual	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualSECOND	Seize the Manual (-10 faction satisfaction for 5 turns)	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualTHIRD	Politely Decline	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualTHIRD	Decline the Offer	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_both	Hua Tuo Visits	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_both	While the army replenishes in a settlement, Hua Tuo passes through. Beyond requesting treatment, there may be ways to keep either the physician or his life's work.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothFIRST	Ask Hua Tuo to Treat Them (2,000 gold)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothFIRST	Accept Treatment	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothSECOND	Retain Hua Tuo (1,000 gold)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothSECOND	Recruit Hua Tuo	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothTHIRD	Imprison Him and Seize Hua Tuo's Manual	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothTHIRD	Seize the Manual (-10 faction satisfaction for 5 turns)	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothFOURTH	Politely Decline	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothFOURTH	Decline the Offer	true
dilemmas_localised_title_wota_dilemma_physician_visits	A Renowned Physician Visits	true
dilemmas_localised_description_wota_dilemma_physician_visits	While the army replenishes in a settlement, a renowned physician passes through. For 2,000 gold, they will treat one officer suffering a permanent severe injury.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_physician_visitsFIRST	Request Treatment (2,000 gold)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_physician_visitsFIRST	Accept Treatment	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_physician_visitsSECOND	Politely Decline	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_physician_visitsSECOND	Decline the Offer	true
loyalty_factors_localised_negative_name_wota_loyalty_factor_hua_tuo_confiscated	Persecuted a Renowned Physician	true
loyalty_factors_localised_positive_name_wota_loyalty_factor_hua_tuo_confiscated	Respected a Renowned Physician	true
