key	text	tooltip
#Loc;1;text/db/wota_ja.loc		
ui_character_assignments_localised_title_wota_ui_recuperate	療養	true
ui_character_assignments_localised_description_wota_ui_recuperate	国内で静養し、回復に専念します。費用は無料で、4ターンかかります。完了すると、深刻な後遺症は「傷痕」に置き換わります。途中で召還しても追加の召還待ち時間はありません。	true
ui_character_assignments_localised_title_wota_ui_seek_physician	名医を探す	true
ui_character_assignments_localised_description_wota_ui_seek_physician	武将を国外の任務に派遣し、外国の名医による迅速な治療を受けます。費用は4000、軍務を離れる期間は1ターンです。完了すると、深刻な後遺症は「傷痕」に置き換わります。途中で召還しても追加の召還待ち時間はなく、費用は返還されません。	true
wota_treatment_category_title	治療	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits	華佗の来訪	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits	軍が都市に駐屯して兵を補充している折、名医・華佗が偶然この地を訪れた。華佗は重い後遺症を負う武将一人の治療を申し出ている。2000金を支払えば、その重傷は「傷跡」に置き換わる。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visitsFIRST	華佗に依頼する（2000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visitsFIRST	治療を受ける	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visitsSECOND	丁重に断る	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visitsSECOND	申し出を断る	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_recruit	華佗の来訪	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_recruit	軍が都市で兵を補充している折、名医・華佗が訪れた。負傷者の治療を頼むことも、厚礼をもって長く仕えるよう招くこともできる。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitFIRST	華佗に治療を頼む（2000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitFIRST	治療を受ける	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitSECOND	華佗を厚礼で招く（1000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitSECOND	華佗を登用する	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitTHIRD	丁重に断る	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitTHIRD	申し出を断る	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_manual	華佗の来訪	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_manual	軍が都市で兵を補充している折、名医・華佗が訪れた。治療を頼むことも、欺罔の罪で投獄して医書を没収することもできる。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualFIRST	華佗に治療を頼む（2000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualFIRST	治療を受ける	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualSECOND	投獄して『青嚢書』を没収する	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualSECOND	医書を没収する（勢力全体の満足度-10、5ターン）	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualTHIRD	丁重に断る	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualTHIRD	申し出を断る	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_both	華佗の来訪	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_both	軍が都市で兵を補充している折、名医・華佗が訪れた。治療を頼むほか、名医本人かその生涯の医術を手元に残す道もある。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothFIRST	華佗に治療を頼む（2000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothFIRST	治療を受ける	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothSECOND	華佗を厚礼で招く（1000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothSECOND	華佗を登用する	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothTHIRD	投獄して『青嚢書』を没収する	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothTHIRD	医書を没収する（勢力全体の満足度-10、5ターン）	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothFOURTH	丁重に断る	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothFOURTH	申し出を断る	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_recruit_only	華佗の来訪	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_recruit_only	軍が都市で兵を補充している折、華佗が訪れた。治療費は足りないが、厚礼をもって長く仕えるよう招くことはできる。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruit_onlyFIRST	華佗を厚礼で招く（1000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruit_onlyFIRST	華佗を登用する	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruit_onlySECOND	丁重に断る	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruit_onlySECOND	申し出を断る	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_manual_only	華佗の来訪	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_manual_only	軍が都市で兵を補充している折、華佗が訪れた。治療費は足りないが、投獄して医書を没収することはできる。	true
