key	text	tooltip
#Loc;1;text/db/wota_ko.loc		
ui_character_assignments_localised_title_wota_ui_recuperate	요양 치료	true
ui_character_assignments_localised_description_wota_ui_recuperate	현지에서 군무를 떠나 안정을 취하며 회복합니다. 무료이며 4턴이 걸립니다. 완료하면 심각한 영구 부상이 '흉터'로 대체됩니다. 도중에 소환해도 추가 소환 대기 시간은 없습니다.	true
ui_character_assignments_localised_title_wota_ui_seek_physician	명의를 수소문하다	true
ui_character_assignments_localised_description_wota_ui_seek_physician	장수를 외국 임무에 파견해 외국 명의에게 신속한 치료를 받습니다. 비용은 4000이며 군무에서 1턴 동안 물러납니다. 완료하면 심각한 영구 부상이 '흉터'로 대체됩니다. 도중에 소환해도 추가 소환 대기 시간은 없으며 비용은 환불되지 않습니다.	true
wota_treatment_category_title	치료	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits	화타의 방문	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits	군대가 정착지에 주둔하며 병력을 보충하던 중 명의 화타가 우연히 이곳을 찾았습니다. 화타는 영구적인 중상을 입은 장수 한 명을 치료하겠다고 합니다. 2,000금을 지불하면 해당 중상이 흉터로 대체됩니다.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visitsFIRST	화타에게 맡긴다 (2,000금)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visitsFIRST	치료를 받는다	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visitsSECOND	정중히 거절한다	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visitsSECOND	제안을 거절한다	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_recruit	화타의 방문	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_recruit	군대가 정착지에서 병력을 보충하던 중 명의 화타가 찾아왔습니다. 부상자를 치료하게 하거나 후한 예물로 장기 봉사를 청할 수 있습니다.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitFIRST	화타에게 치료를 맡긴다 (2,000금)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitFIRST	치료를 받는다	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitSECOND	화타를 후하게 초빙한다 (1,000금)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitSECOND	화타를 영입한다	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitTHIRD	정중히 거절한다	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitTHIRD	제안을 거절한다	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_manual	화타의 방문	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_manual	군대가 정착지에서 병력을 보충하던 중 명의 화타가 찾아왔습니다. 치료를 청하거나 그를 옥에 가두고 의서를 압수할 수 있습니다.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualFIRST	화타에게 치료를 맡긴다 (2,000금)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualFIRST	치료를 받는다	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualSECOND	옥에 가두고 『청낭서』를 압수한다	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualSECOND	의서를 압수한다 (세력 전체 만족도 -10, 5턴)	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualTHIRD	정중히 거절한다	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualTHIRD	제안을 거절한다	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_both	화타의 방문	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_both	군대가 정착지에서 병력을 보충하던 중 명의 화타가 찾아왔습니다. 치료를 청하는 것 외에도 명의 본인이나 평생의 의술을 곁에 남길 수 있습니다.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothFIRST	화타에게 치료를 맡긴다 (2,000금)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothFIRST	치료를 받는다	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothSECOND	화타를 후하게 초빙한다 (1,000금)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothSECOND	화타를 영입한다	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothTHIRD	옥에 가두고 『청낭서』를 압수한다	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothTHIRD	의서를 압수한다 (세력 전체 만족도 -10, 5턴)	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothFOURTH	정중히 거절한다	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothFOURTH	제안을 거절한다	true
dilemmas_localised_title_wota_dilemma_physician_visits	명의의 방문	true
dilemmas_localised_description_wota_dilemma_physician_visits	군대가 정착지에서 병력을 보충하던 중 이름난 의원이 찾아왔습니다. 2,000금을 지불하면 영구적인 중상을 입은 장수 한 명을 치료해 줍니다.	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_physician_visitsFIRST	명의에게 치료를 맡긴다 (2,000금)	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_physician_visitsFIRST	치료를 받는다	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_physician_visitsSECOND	정중히 거절한다	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_physician_visitsSECOND	제안을 거절한다	true
loyalty_factors_localised_negative_name_wota_loyalty_factor_hua_tuo_confiscated	명의를 박해함	true
loyalty_factors_localised_positive_name_wota_loyalty_factor_hua_tuo_confiscated	명의를 존중함	true
