campaign_group	assignment	is_target_type_default
#campaign_group_character_assignments_tables;0;db/campaign_group_character_assignments_tables/wota_campaigns		
3k_main_campaign_group_all	wota_assignment_recuperate	false
3k_main_campaign_group_all	wota_assignment_seek_physician	false
3k_main_campaign_group_han_empire_factions	wota_assignment_recuperate	false
3k_main_campaign_group_han_empire_factions	wota_assignment_seek_physician	false
3k_main_campaign_group_faction_bandits	wota_assignment_recuperate	false
3k_main_campaign_group_faction_bandits	wota_assignment_seek_physician	false
3k_main_campaign_factions_yellow_turban	wota_assignment_recuperate	false
3k_main_campaign_factions_yellow_turban	wota_assignment_seek_physician	false
3k_dlc04_campaign_factions_han_empire	wota_assignment_recuperate	false
3k_dlc04_campaign_factions_han_empire	wota_assignment_seek_physician	false
3k_dlc04_campaign_factions_yellow_turban	wota_assignment_recuperate	false
3k_dlc04_campaign_factions_yellow_turban	wota_assignment_seek_physician	false
3k_dlc06_campaign_group_assignments_nanman_all	wota_assignment_recuperate	false
3k_dlc06_campaign_group_assignments_nanman_all	wota_assignment_seek_physician	false
ep_campaign_group_eight_princes_factions	wota_assignment_recuperate	false
ep_campaign_group_eight_princes_factions	wota_assignment_seek_physician	false
3k_ytr_campaign_group_politics_court_nobles_heaven	wota_assignment_recuperate	false
3k_ytr_campaign_group_politics_court_nobles_heaven	wota_assignment_seek_physician	false
3k_ytr_campaign_group_politics_court_nobles_land	wota_assignment_recuperate	false
3k_ytr_campaign_group_politics_court_nobles_land	wota_assignment_seek_physician	false
3k_ytr_campaign_group_politics_court_nobles_man	wota_assignment_recuperate	false
3k_ytr_campaign_group_politics_court_nobles_man	wota_assignment_seek_physician	false
