key	text	tooltip
#Loc;1;text/db/wota_zh_cn.loc		
ui_character_assignments_localised_title_wota_ui_recuperate	疗伤修养	true
ui_character_assignments_localised_description_wota_ui_recuperate	在本地安心静养，徐图康复。无需花费，休养4回合；完成后，严重伤残将转化为伤疤。治疗完成前召回不会治愈，也没有额外召回耗时。	true
ui_character_assignments_localised_title_wota_ui_seek_physician	寻访名医	true
ui_character_assignments_localised_description_wota_ui_seek_physician	必须将人物派往外国差事，选择外国名医并支付4000金，以换取迅速诊治，仅需离开军务1回合；完成后，严重伤残将转化为伤疤。治疗完成前召回不会治愈，费用不予退还，也没有额外召回耗时。	true
wota_treatment_category_title	疗伤	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits	华佗来访	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits	军队驻扎城中补员之际，恰逢名医华佗游历至此。他愿为其中一名身负永久重伤的人物诊治；支付2000金后，其严重伤残将转化为伤疤。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visitsFIRST	延请华佗（2000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visitsFIRST	接受诊治	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visitsSECOND	婉言谢绝	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visitsSECOND	谢绝好意	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_recruit	华佗来访	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_recruit	军队驻扎城中补员之际，恰逢名医华佗游历至此。他愿为伤员诊治，也可用厚礼延请他长期相助。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitFIRST	延请华佗诊治（2000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitFIRST	接受诊治	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitSECOND	厚礼招揽华佗（1000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitSECOND	招揽华佗	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_recruitTHIRD	婉言谢绝	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_recruitTHIRD	谢绝好意	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_manual	华佗来访	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_manual	军队驻扎城中补员之际，恰逢名医华佗游历至此。他愿为伤员诊治；也可以欺罔之罪将其下狱，查取医书。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualFIRST	延请华佗诊治（2000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualFIRST	接受诊治	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualSECOND	下狱查取《青囊书》	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualSECOND	查取医书（全派系满意度-10，持续5回合）	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_manualTHIRD	婉言谢绝	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_manualTHIRD	谢绝好意	true
dilemmas_localised_title_wota_dilemma_hua_tuo_visits_both	华佗来访	true
dilemmas_localised_description_wota_dilemma_hua_tuo_visits_both	军队驻扎城中补员之际，恰逢名医华佗游历至此。除了延医问药，还可设法将这位名医及其毕生所学留在麾下。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothFIRST	延请华佗诊治（2000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothFIRST	接受诊治	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothSECOND	厚礼招揽华佗（1000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothSECOND	招揽华佗	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothTHIRD	下狱查取《青囊书》	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothTHIRD	查取医书（全派系满意度-10，持续5回合）	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_hua_tuo_visits_bothFOURTH	婉言谢绝	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_hua_tuo_visits_bothFOURTH	谢绝好意	true
dilemmas_localised_title_wota_dilemma_physician_visits	名医来访	true
dilemmas_localised_description_wota_dilemma_physician_visits	军队驻扎城中补员之际，恰逢一位颇负盛名的医者来访。他愿为其中一名身负永久重伤的人物诊治；支付2000金后，其严重伤残将转化为伤疤。	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_physician_visitsFIRST	延请名医（2000金）	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_physician_visitsFIRST	接受诊治	true
cdir_events_dilemma_choice_details_localised_choice_label_wota_dilemma_physician_visitsSECOND	婉言谢绝	true
cdir_events_dilemma_choice_details_localised_choice_title_wota_dilemma_physician_visitsSECOND	谢绝好意	true
loyalty_factors_localised_negative_name_wota_loyalty_factor_hua_tuo_confiscated	迫害名医	true
loyalty_factors_localised_positive_name_wota_loyalty_factor_hua_tuo_confiscated	敬重名医	true
